,crime,quantity,year,trimester,city
192,    8.-Hurtos,1603,2019,1,Murcia
193,    9.-Sustracciones de vehículos,127,2019,1,Murcia
194,    10.-Tráfico de drogas,29,2019,1,Murcia
195,    Resto de infracciones penales,2672,2019,1,Murcia
196,    1.-Homicidios dolosos y asesinatos consumados,1,2019,1,Bilbao
197,    2.-Homicidios dolosos y asesinatos en grado tentativa,1,2019,1,Bilbao
198,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,63,2019,1,Bilbao
199,    4.-Secuestro,2,2019,1,Bilbao
200,    5.-Delitos contra la libertad e indemnidad sexual,25,2019,1,Bilbao
201,    5.1.-Agresión sexual con penetración,5,2019,1,Bilbao
202,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,20,2019,1,Bilbao
203,    6.-Robos con violencia e intimidación,198,2019,1,Bilbao
204,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",236,2019,1,Bilbao
205,    7.1.-Robos con fuerza en domicilios,120,2019,1,Bilbao
206,    8.-Hurtos,3118,2019,1,Bilbao
207,    9.-Sustracciones de vehículos,38,2019,1,Bilbao
208,    10.-Tráfico de drogas,10,2019,1,Bilbao
209,    Resto de infracciones penales,1659,2019,1,Bilbao
210,    1.-Homicidios dolosos y asesinatos consumados,1,2019,2,Córdoba
211,    2.-Homicidios dolosos y asesinatos en grado tentativa,2,2019,2,Córdoba
212,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,21,2019,2,Córdoba
213,    4.-Secuestro,0,2019,2,Córdoba
214,    5.-Delitos contra la libertad e indemnidad sexual,33,2019,2,Córdoba
215,    5.1.-Agresión sexual con penetración,3,2019,2,Córdoba
216,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,30,2019,2,Córdoba
217,    6.-Robos con violencia e intimidación,81,2019,2,Córdoba
218,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",135,2019,2,Córdoba
219,    7.1.-Robos con fuerza en domicilios,80,2019,2,Córdoba
220,    8.-Hurtos,1308,2019,2,Córdoba
221,    9.-Sustracciones de vehículos,54,2019,2,Córdoba
222,    10.-Tráfico de drogas,54,2019,2,Córdoba
223,    Resto de infracciones penales,2432,2019,2,Córdoba
224,    1.-Homicidios dolosos y asesinatos consumados,0,2019,2,Málaga
225,    2.-Homicidios dolosos y asesinatos en grado tentativa,3,2019,2,Málaga
226,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,51,2019,2,Málaga
227,    4.-Secuestro,0,2019,2,Málaga
228,    5.-Delitos contra la libertad e indemnidad sexual,59,2019,2,Málaga
229,    5.1.-Agresión sexual con penetración,3,2019,2,Málaga
230,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,56,2019,2,Málaga
231,    6.-Robos con violencia e intimidación,157,2019,2,Málaga
232,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",238,2019,2,Málaga
233,    7.1.-Robos con fuerza en domicilios,168,2019,2,Málaga
234,    8.-Hurtos,2538,2019,2,Málaga
235,    9.-Sustracciones de vehículos,162,2019,2,Málaga
236,    10.-Tráfico de drogas,88,2019,2,Málaga
237,    Resto de infracciones penales,3197,2019,2,Málaga
238,    1.-Homicidios dolosos y asesinatos consumados,0,2019,2,Sevilla
239,    2.-Homicidios dolosos y asesinatos en grado tentativa,6,2019,2,Sevilla
240,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,65,2019,2,Sevilla
241,    4.-Secuestro,2,2019,2,Sevilla
242,    5.-Delitos contra la libertad e indemnidad sexual,60,2019,2,Sevilla
243,    5.1.-Agresión sexual con penetración,3,2019,2,Sevilla
244,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,57,2019,2,Sevilla
245,    6.-Robos con violencia e intimidación,454,2019,2,Sevilla
246,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",773,2019,2,Sevilla
247,    7.1.-Robos con fuerza en domicilios,297,2019,2,Sevilla
248,    8.-Hurtos,5019,2019,2,Sevilla
249,    9.-Sustracciones de vehículos,404,2019,2,Sevilla
250,    10.-Tráfico de drogas,44,2019,2,Sevilla
251,    Resto de infracciones penales,5990,2019,2,Sevilla
252,    1.-Homicidios dolosos y asesinatos consumados,0,2019,2,Zaragoza
253,    2.-Homicidios dolosos y asesinatos en grado tentativa,0,2019,2,Zaragoza
254,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,69,2019,2,Zaragoza
255,    4.-Secuestro,0,2019,2,Zaragoza
256,    5.-Delitos contra la libertad e indemnidad sexual,33,2019,2,Zaragoza
257,    5.1.-Agresión sexual con penetración,4,2019,2,Zaragoza
258,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,29,2019,2,Zaragoza
259,    6.-Robos con violencia e intimidación,233,2019,2,Zaragoza
260,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",345,2019,2,Zaragoza
261,    7.1.-Robos con fuerza en domicilios,226,2019,2,Zaragoza
262,    8.-Hurtos,1851,2019,2,Zaragoza
263,    9.-Sustracciones de vehículos,28,2019,2,Zaragoza
264,    10.-Tráfico de drogas,58,2019,2,Zaragoza
265,    Resto de infracciones penales,3650,2019,2,Zaragoza
266,    1.-Homicidios dolosos y asesinatos consumados,0,2019,2,Gijón
267,    2.-Homicidios dolosos y asesinatos en grado tentativa,1,2019,2,Gijón
268,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,31,2019,2,Gijón
269,    4.-Secuestro,0,2019,2,Gijón
270,    5.-Delitos contra la libertad e indemnidad sexual,7,2019,2,Gijón
271,    5.1.-Agresión sexual con penetración,0,2019,2,Gijón
272,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,7,2019,2,Gijón
273,    6.-Robos con violencia e intimidación,20,2019,2,Gijón
274,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",65,2019,2,Gijón
275,    7.1.-Robos con fuerza en domicilios,32,2019,2,Gijón
276,    8.-Hurtos,571,2019,2,Gijón
277,    9.-Sustracciones de vehículos,23,2019,2,Gijón
278,    10.-Tráfico de drogas,20,2019,2,Gijón
279,    Resto de infracciones penales,1211,2019,2,Gijón
280,    1.-Homicidios dolosos y asesinatos consumados,0,2019,2,Palma
281,    2.-Homicidios dolosos y asesinatos en grado tentativa,9,2019,2,Palma
282,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,58,2019,2,Palma
283,    4.-Secuestro,1,2019,2,Palma
284,    5.-Delitos contra la libertad e indemnidad sexual,77,2019,2,Palma
285,    5.1.-Agresión sexual con penetración,7,2019,2,Palma
286,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,70,2019,2,Palma
287,    6.-Robos con violencia e intimidación,185,2019,2,Palma
288,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",184,2019,2,Palma
289,    7.1.-Robos con fuerza en domicilios,121,2019,2,Palma
290,    8.-Hurtos,3590,2019,2,Palma
291,    9.-Sustracciones de vehículos,200,2019,2,Palma
292,    10.-Tráfico de drogas,51,2019,2,Palma
293,    Resto de infracciones penales,4160,2019,2,Palma
294,    1.-Homicidios dolosos y asesinatos consumados,1,2019,2,Las Palmas de Gran Canaria
295,    2.-Homicidios dolosos y asesinatos en grado tentativa,0,2019,2,Las Palmas de Gran Canaria
296,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,47,2019,2,Las Palmas de Gran Canaria
297,    4.-Secuestro,0,2019,2,Las Palmas de Gran Canaria
298,    5.-Delitos contra la libertad e indemnidad sexual,41,2019,2,Las Palmas de Gran Canaria
299,    5.1.-Agresión sexual con penetración,1,2019,2,Las Palmas de Gran Canaria
300,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,40,2019,2,Las Palmas de Gran Canaria
301,    6.-Robos con violencia e intimidación,68,2019,2,Las Palmas de Gran Canaria
302,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",106,2019,2,Las Palmas de Gran Canaria
303,    7.1.-Robos con fuerza en domicilios,71,2019,2,Las Palmas de Gran Canaria
304,    8.-Hurtos,986,2019,2,Las Palmas de Gran Canaria
305,    9.-Sustracciones de vehículos,52,2019,2,Las Palmas de Gran Canaria
306,    10.-Tráfico de drogas,39,2019,2,Las Palmas de Gran Canaria
307,    Resto de infracciones penales,2715,2019,2,Las Palmas de Gran Canaria
308,    1.-Homicidios dolosos y asesinatos consumados,0,2019,2,Valladolid
309,    2.-Homicidios dolosos y asesinatos en grado tentativa,0,2019,2,Valladolid
310,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,17,2019,2,Valladolid
311,    4.-Secuestro,0,2019,2,Valladolid
312,    5.-Delitos contra la libertad e indemnidad sexual,17,2019,2,Valladolid
313,    5.1.-Agresión sexual con penetración,1,2019,2,Valladolid
314,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,16,2019,2,Valladolid
315,    6.-Robos con violencia e intimidación,21,2019,2,Valladolid
316,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",107,2019,2,Valladolid
317,    7.1.-Robos con fuerza en domicilios,58,2019,2,Valladolid
318,    8.-Hurtos,764,2019,2,Valladolid
319,    9.-Sustracciones de vehículos,19,2019,2,Valladolid
320,    10.-Tráfico de drogas,6,2019,2,Valladolid
321,    Resto de infracciones penales,1376,2019,2,Valladolid
322,    1.-Homicidios dolosos y asesinatos consumados,2,2019,2,Barcelona
323,    2.-Homicidios dolosos y asesinatos en grado tentativa,11,2019,2,Barcelona
324,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,867,2019,2,Barcelona
325,    4.-Secuestro,0,2019,2,Barcelona
326,    5.-Delitos contra la libertad e indemnidad sexual,192,2019,2,Barcelona
327,    5.1.-Agresión sexual con penetración,34,2019,2,Barcelona
328,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,158,2019,2,Barcelona
329,    6.-Robos con violencia e intimidación,3533,2019,2,Barcelona
330,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",2160,2019,2,Barcelona
331,    7.1.-Robos con fuerza en domicilios,1171,2019,2,Barcelona
332,    8.-Hurtos,29179,2019,2,Barcelona
333,    9.-Sustracciones de vehículos,1166,2019,2,Barcelona
334,    10.-Tráfico de drogas,130,2019,2,Barcelona
335,    Resto de infracciones penales,13339,2019,2,Barcelona
336,    1.-Homicidios dolosos y asesinatos consumados,1,2019,2,Alicante
337,    2.-Homicidios dolosos y asesinatos en grado tentativa,1,2019,2,Alicante
338,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,35,2019,2,Alicante
339,    4.-Secuestro,0,2019,2,Alicante
340,    5.-Delitos contra la libertad e indemnidad sexual,37,2019,2,Alicante
341,    5.1.-Agresión sexual con penetración,6,2019,2,Alicante
342,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,31,2019,2,Alicante
343,    6.-Robos con violencia e intimidación,121,2019,2,Alicante
344,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",243,2019,2,Alicante
345,    7.1.-Robos con fuerza en domicilios,187,2019,2,Alicante
346,    8.-Hurtos,1781,2019,2,Alicante
347,    9.-Sustracciones de vehículos,105,2019,2,Alicante
348,    10.-Tráfico de drogas,53,2019,2,Alicante
349,    Resto de infracciones penales,2262,2019,2,Alicante
350,    1.-Homicidios dolosos y asesinatos consumados,2,2019,2,Valencia
351,    2.-Homicidios dolosos y asesinatos en grado tentativa,6,2019,2,Valencia
352,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,129,2019,2,Valencia
353,    4.-Secuestro,0,2019,2,Valencia
354,    5.-Delitos contra la libertad e indemnidad sexual,90,2019,2,Valencia
355,    5.1.-Agresión sexual con penetración,7,2019,2,Valencia
356,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,83,2019,2,Valencia
357,    6.-Robos con violencia e intimidación,406,2019,2,Valencia
358,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",641,2019,2,Valencia
359,    7.1.-Robos con fuerza en domicilios,370,2019,2,Valencia
360,    8.-Hurtos,4521,2019,2,Valencia
361,    9.-Sustracciones de vehículos,206,2019,2,Valencia
362,    10.-Tráfico de drogas,82,2019,2,Valencia
363,    Resto de infracciones penales,5456,2019,2,Valencia
364,    1.-Homicidios dolosos y asesinatos consumados,0,2019,2,Vigo
365,    2.-Homicidios dolosos y asesinatos en grado tentativa,2,2019,2,Vigo
366,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,32,2019,2,Vigo
367,    4.-Secuestro,0,2019,2,Vigo
368,    5.-Delitos contra la libertad e indemnidad sexual,27,2019,2,Vigo
369,    5.1.-Agresión sexual con penetración,4,2019,2,Vigo
370,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,23,2019,2,Vigo
371,    6.-Robos con violencia e intimidación,38,2019,2,Vigo
372,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",158,2019,2,Vigo
373,    7.1.-Robos con fuerza en domicilios,68,2019,2,Vigo
374,    8.-Hurtos,755,2019,2,Vigo
375,    9.-Sustracciones de vehículos,67,2019,2,Vigo
376,    10.-Tráfico de drogas,22,2019,2,Vigo
377,    Resto de infracciones penales,1439,2019,2,Vigo
378,    1.-Homicidios dolosos y asesinatos consumados,2,2019,2,Madrid
379,    2.-Homicidios dolosos y asesinatos en grado tentativa,12,2019,2,Madrid
380,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,336,2019,2,Madrid
381,    4.-Secuestro,4,2019,2,Madrid
382,    5.-Delitos contra la libertad e indemnidad sexual,284,2019,2,Madrid
383,    5.1.-Agresión sexual con penetración,40,2019,2,Madrid
384,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,244,2019,2,Madrid
385,    6.-Robos con violencia e intimidación,2644,2019,2,Madrid
386,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",2094,2019,2,Madrid
387,    7.1.-Robos con fuerza en domicilios,1205,2019,2,Madrid
388,    8.-Hurtos,27783,2019,2,Madrid
389,    9.-Sustracciones de vehículos,1246,2019,2,Madrid
390,    10.-Tráfico de drogas,427,2019,2,Madrid
391,    Resto de infracciones penales,27642,2019,2,Madrid
392,    1.-Homicidios dolosos y asesinatos consumados,0,2019,2,Murcia
