
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2018;Enero-marzo 2019;Variación % 2019/2018;
ANDALUCÍA;
    10.-Tráfico de drogas;3.0;2.0;-33.3;
    Resto de infracciones penales;140.0;99.0;-29.3;
    TOTAL INFRACCIONES PENALES;204.0;153.0;-25.0;
- Municipio de Cádiz;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;2.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;18.0;26.0;44.4;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;8.0;14.0;75.0;
    5.1.-Agresión sexual con penetración;1.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;12.0;71.4;
    6.-Robos con violencia e intimidación;22.0;20.0;-9.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;77.0;40.0;-48.1;
    7.1.-Robos con fuerza en domicilios;27.0;14.0;-48.1;
    8.-Hurtos;513.0;480.0;-6.4;
    9.-Sustracciones de vehículos;90.0;57.0;-36.7;
    10.-Tráfico de drogas;16.0;18.0;12.5;
    Resto de infracciones penales;640.0;711.0;11.1;
    TOTAL INFRACCIONES PENALES;1384.0;1368.0;-1.2;
- Municipio de Chiclana de la Frontera;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;11.0;450.0;
    4.-Secuestro;0.0;1.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;4.0;6.0;50.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;4.0;6.0;50.0;
    6.-Robos con violencia e intimidación;12.0;6.0;-50.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;74.0;59.0;-20.3;
    7.1.-Robos con fuerza en domicilios;61.0;49.0;-19.7;
    8.-Hurtos;129.0;145.0;12.4;
    9.-Sustracciones de vehículos;23.0;13.0;-43.5;
    10.-Tráfico de drogas;4.0;7.0;75.0;
    Resto de infracciones penales;414.0;423.0;2.2;
    TOTAL INFRACCIONES PENALES;662.0;671.0;1.4;
- Municipio de Jerez de la Frontera;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;15.0;15.0;0.0;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;15.0;17.0;13.3;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;15.0;16.0;6.7;
    6.-Robos con violencia e intimidación;44.0;44.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;181.0;71.0;-60.8;
    7.1.-Robos con fuerza en domicilios;92.0;48.0;-47.8;
    8.-Hurtos;753.0;670.0;-11.0;
    9.-Sustracciones de vehículos;77.0;60.0;-22.1;
    10.-Tráfico de drogas;6.0;24.0;300.0;
    Resto de infracciones penales;1433.0;1398.0;-2.4;
    TOTAL INFRACCIONES PENALES;2525.0;2299.0;-9.0;
- Municipio de Línea de la Concepción (La);
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;4.0;1.0;-75.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;19.0;8.0;-57.9;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;5.0;66.7;
    5.1.-Agresión sexual con penetración;1.0;1.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;4.0;100.0;
    6.-Robos con violencia e intimidación;22.0;23.0;4.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;17.0;10.0;-41.2;
    7.1.-Robos con fuerza en domicilios;7.0;4.0;-42.9;
    8.-Hurtos;140.0;75.0;-46.4;
    9.-Sustracciones de vehículos;16.0;24.0;50.0;
    10.-Tráfico de drogas;25.0;23.0;-8.0;
    Resto de infracciones penales;519.0;471.0;-9.2;
    TOTAL INFRACCIONES PENALES;765.0;641.0;-16.2;
- Municipio de Puerto de Santa María (El);
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;2.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;5.0;25.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;8.0;166.7;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;8.0;300.0;
    6.-Robos con violencia e intimidación;13.0;5.0;-61.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;70.0;43.0;-38.6;
    7.1.-Robos con fuerza en domicilios;33.0;24.0;-27.3;
    8.-Hurtos;296.0;259.0;-12.5;
    9.-Sustracciones de vehículos;36.0;31.0;-13.9;
    10.-Tráfico de drogas;10.0;11.0;10.0;
    Resto de infracciones penales;502.0;601.0;19.7;
    TOTAL INFRACCIONES PENALES;936.0;963.0;2.9;
- Municipio de Puerto Real;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;3.0;200.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;1.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;1.0;0.0;
    6.-Robos con violencia e intimidación;1.0;2.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;38.0;23.0;-39.5;
    7.1.-Robos con fuerza en domicilios;35.0;18.0;-48.6;
    8.-Hurtos;95.0;81.0;-14.7;
    9.-Sustracciones de vehículos;8.0;13.0;62.5;
    10.-Tráfico de drogas;0.0;4.0;100.0;
    Resto de infracciones penales;227.0;271.0;19.4;
    TOTAL INFRACCIONES PENALES;371.0;398.0;7.3;
- Municipio de San Fernando;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;11.0;450.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;11.0;5.0;-54.5;
    5.1.-Agresión sexual con penetración;1.0;1.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;10.0;4.0;-60.0;
    6.-Robos con violencia e intimidación;16.0;27.0;68.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;46.0;29.0;-37.0;
    7.1.-Robos con fuerza en domicilios;27.0;15.0;-44.4;
    8.-Hurtos;267.0;250.0;-6.4;
    9.-Sustracciones de vehículos;52.0;25.0;-51.9;
    10.-Tráfico de drogas;2.0;1.0;-50.0;
    Resto de infracciones penales;488.0;638.0;30.7;
    TOTAL INFRACCIONES PENALES;884.0;987.0;11.7;
- Municipio de San Roque;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
