
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2018;Enero-marzo 2019;Variación % 2019/2018;
ANDALUCÍA;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;184.0;97.0;-47.3;
    7.1.-Robos con fuerza en domicilios;171.0;89.0;-48.0;
    8.-Hurtos;256.0;290.0;13.3;
    9.-Sustracciones de vehículos;26.0;17.0;-34.6;
    10.-Tráfico de drogas;2.0;2.0;0.0;
    Resto de infracciones penales;571.0;567.0;-0.7;
    TOTAL INFRACCIONES PENALES;1117.0;1039.0;-7.0;
- Municipio de Sant Feliu de Llobregat;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;9.0;9.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;1.0;0.0;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;1.0;100.0;
    6.-Robos con violencia e intimidación;8.0;14.0;75.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;14.0;43.0;207.1;
    7.1.-Robos con fuerza en domicilios;10.0;34.0;240.0;
    8.-Hurtos;69.0;72.0;4.3;
    9.-Sustracciones de vehículos;9.0;7.0;-22.2;
    10.-Tráfico de drogas;1.0;1.0;0.0;
    Resto de infracciones penales;190.0;216.0;13.7;
    TOTAL INFRACCIONES PENALES;301.0;363.0;20.6;
- Municipio de Sant Joan Despí;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;12.0;300.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;4.0;33.3;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;3.0;0.0;
    6.-Robos con violencia e intimidación;19.0;12.0;-36.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;19.0;22.0;15.8;
    7.1.-Robos con fuerza en domicilios;14.0;10.0;-28.6;
    8.-Hurtos;68.0;52.0;-23.5;
    9.-Sustracciones de vehículos;7.0;14.0;100.0;
    10.-Tráfico de drogas;1.0;0.0;-100.0;
    Resto de infracciones penales;188.0;162.0;-13.8;
    TOTAL INFRACCIONES PENALES;308.0;278.0;-9.7;
- Municipio de Sant Pere de Ribes;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;6.0;7.0;16.7;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;2.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;2.0;0.0;
    6.-Robos con violencia e intimidación;4.0;5.0;25.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;29.0;34.0;17.2;
    7.1.-Robos con fuerza en domicilios;28.0;32.0;14.3;
    8.-Hurtos;32.0;36.0;12.5;
    9.-Sustracciones de vehículos;1.0;2.0;100.0;
    10.-Tráfico de drogas;2.0;0.0;-100.0;
    Resto de infracciones penales;117.0;118.0;0.9;
    TOTAL INFRACCIONES PENALES;193.0;204.0;5.7;
- Municipio de Santa Coloma de Gramenet;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;51.0;56.0;9.8;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;7.0;6.0;-14.3;
    5.1.-Agresión sexual con penetración;1.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;6.0;4.0;-33.3;
    6.-Robos con violencia e intimidación;128.0;101.0;-21.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;92.0;88.0;-4.3;
    7.1.-Robos con fuerza en domicilios;70.0;44.0;-37.1;
    8.-Hurtos;428.0;377.0;-11.9;
    9.-Sustracciones de vehículos;28.0;54.0;92.9;
    10.-Tráfico de drogas;6.0;2.0;-66.7;
    Resto de infracciones penales;576.0;616.0;6.9;
    TOTAL INFRACCIONES PENALES;1317.0;1301.0;-1.2;
- Municipio de Terrassa;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;3.0;1.0;-66.7;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;77.0;71.0;-7.8;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;13.0;19.0;46.2;
    5.1.-Agresión sexual con penetración;5.0;7.0;40.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;8.0;12.0;50.0;
    6.-Robos con violencia e intimidación;93.0;87.0;-6.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;118.0;110.0;-6.8;
    7.1.-Robos con fuerza en domicilios;86.0;67.0;-22.1;
    8.-Hurtos;588.0;551.0;-6.3;
    9.-Sustracciones de vehículos;37.0;33.0;-10.8;
    10.-Tráfico de drogas;6.0;6.0;0.0;
    Resto de infracciones penales;1100.0;1095.0;-0.5;
    TOTAL INFRACCIONES PENALES;2036.0;1973.0;-3.1;
- Municipio de Vic;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;22.0;23.0;4.5;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;7.0;7.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;6.0;-14.3;
    6.-Robos con violencia e intimidación;16.0;13.0;-18.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;31.0;26.0;-16.1;
    7.1.-Robos con fuerza en domicilios;22.0;17.0;-22.7;
    8.-Hurtos;132.0;105.0;-20.5;
    9.-Sustracciones de vehículos;2.0;4.0;100.0;
    10.-Tráfico de drogas;2.0;1.0;-50.0;
    Resto de infracciones penales;327.0;300.0;-8.3;
    TOTAL INFRACCIONES PENALES;540.0;479.0;-11.3;
- Municipio de Viladecans;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;15.0;23.0;53.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;9.0;350.0;
    5.1.-Agresión sexual con penetración;1.0;1.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;8.0;700.0;
    6.-Robos con violencia e intimidación;35.0;28.0;-20.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;51.0;28.0;-45.1;
    7.1.-Robos con fuerza en domicilios;41.0;23.0;-43.9;
    8.-Hurtos;227.0;286.0;26.0;
    9.-Sustracciones de vehículos;15.0;12.0;-20.0;
    10.-Tráfico de drogas;4.0;0.0;-100.0;
    Resto de infracciones penales;316.0;430.0;36.1;
    TOTAL INFRACCIONES PENALES;665.0;816.0;22.7;
- Municipio de Vilafranca del Penedès;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;30.0;19.0;-36.7;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;8.0;6.0;-25.0;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;6.0;-14.3;
    6.-Robos con violencia e intimidación;9.0;34.0;277.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;28.0;41.0;46.4;
    7.1.-Robos con fuerza en domicilios;25.0;32.0;28.0;
    8.-Hurtos;144.0;173.0;20.1;
    9.-Sustracciones de vehículos;9.0;4.0;-55.6;
    10.-Tráfico de drogas;2.0;0.0;-100.0;
    Resto de infracciones penales;289.0;276.0;-4.5;
    TOTAL INFRACCIONES PENALES;520.0;553.0;6.3;
- Municipio de Vilanova i la Geltrú;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;23.0;30.0;30.4;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;7.0;250.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;7.0;250.0;
    6.-Robos con violencia e intimidación;27.0;27.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;69.0;92.0;33.3;
    7.1.-Robos con fuerza en domicilios;50.0;76.0;52.0;
    8.-Hurtos;205.0;209.0;2.0;
    9.-Sustracciones de vehículos;13.0;12.0;-7.7;
    10.-Tráfico de drogas;2.0;0.0;-100.0;
    Resto de infracciones penales;429.0;448.0;4.4;
    TOTAL INFRACCIONES PENALES;770.0;825.0;7.1;
Provincia de GIRONA;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;2.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;74.0;82.0;10.8;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;54.0;56.0;3.7;
    5.1.-Agresión sexual con penetración;11.0;11.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;43.0;45.0;4.7;
    6.-Robos con violencia e intimidación;196.0;218.0;11.2;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1220.0;1338.0;9.7;
    7.1.-Robos con fuerza en domicilios;1013.0;1077.0;6.3;
    8.-Hurtos;2355.0;2284.0;-3.0;
    9.-Sustracciones de vehículos;115.0;149.0;29.6;
    10.-Tráfico de drogas;90.0;95.0;5.6;
    Resto de infracciones penales;5081.0;5564.0;9.5;
    TOTAL INFRACCIONES PENALES;9186.0;9789.0;6.6;
- Municipio de Blanes;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;23.0;19.0;-17.4;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;4.0;10.0;150.0;
    5.1.-Agresión sexual con penetración;2.0;4.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;6.0;200.0;
    6.-Robos con violencia e intimidación;9.0;18.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;55.0;44.0;-20.0;
    7.1.-Robos con fuerza en domicilios;37.0;36.0;-2.7;
    8.-Hurtos;130.0;105.0;-19.2;
    9.-Sustracciones de vehículos;12.0;5.0;-58.3;
    10.-Tráfico de drogas;2.0;1.0;-50.0;
    Resto de infracciones penales;342.0;311.0;-9.1;
    TOTAL INFRACCIONES PENALES;577.0;513.0;-11.1;
- Municipio de Figueres;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;32.0;36.0;12.5;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;4.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;3.0;100.0;
    6.-Robos con violencia e intimidación;28.0;24.0;-14.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;48.0;45.0;-6.3;
    7.1.-Robos con fuerza en domicilios;38.0;22.0;-42.1;
    8.-Hurtos;226.0;165.0;-27.0;
    9.-Sustracciones de vehículos;14.0;11.0;-21.4;
    10.-Tráfico de drogas;6.0;12.0;100.0;
    Resto de infracciones penales;400.0;414.0;3.5;
    TOTAL INFRACCIONES PENALES;754.0;711.0;-5.7;
- Municipio de Girona;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;50.0;46.0;-8.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;13.0;9.0;-30.8;
    5.1.-Agresión sexual con penetración;1.0;1.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;12.0;8.0;-33.3;
    6.-Robos con violencia e intimidación;72.0;90.0;25.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;91.0;129.0;41.8;
    7.1.-Robos con fuerza en domicilios;71.0;90.0;26.8;
    8.-Hurtos;489.0;522.0;6.7;
    9.-Sustracciones de vehículos;23.0;19.0;-17.4;
    10.-Tráfico de drogas;4.0;2.0;-50.0;
    Resto de infracciones penales;748.0;870.0;16.3;
    TOTAL INFRACCIONES PENALES;1490.0;1687.0;13.2;
- Municipio de Lloret de Mar;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;15.0;15.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;2.0;0.0;
    6.-Robos con violencia e intimidación;5.0;11.0;120.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;94.0;53.0;-43.6;
    7.1.-Robos con fuerza en domicilios;73.0;45.0;-38.4;
    8.-Hurtos;118.0;81.0;-31.4;
    9.-Sustracciones de vehículos;5.0;9.0;80.0;
    10.-Tráfico de drogas;5.0;7.0;40.0;
    Resto de infracciones penales;260.0;229.0;-11.9;
    TOTAL INFRACCIONES PENALES;504.0;408.0;-19.0;
- Municipio de Olot;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;6.0;19.0;216.7;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;2.0;-33.3;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;2.0;0.0;
    6.-Robos con violencia e intimidación;8.0;7.0;-12.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;57.0;69.0;21.1;
    7.1.-Robos con fuerza en domicilios;31.0;52.0;67.7;
    8.-Hurtos;55.0;55.0;0.0;
    9.-Sustracciones de vehículos;4.0;4.0;0.0;
    10.-Tráfico de drogas;0.0;0.0;0.0;
    Resto de infracciones penales;158.0;165.0;4.4;
    TOTAL INFRACCIONES PENALES;291.0;321.0;10.3;
- Municipio de Salt;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;10.0;11.0;10.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;0.0;-100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;0.0;-100.0;
    6.-Robos con violencia e intimidación;11.0;14.0;27.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;29.0;29.0;0.0;
    7.1.-Robos con fuerza en domicilios;22.0;17.0;-22.7;
    8.-Hurtos;133.0;139.0;4.5;
    9.-Sustracciones de vehículos;3.0;4.0;33.3;
    10.-Tráfico de drogas;0.0;1.0;100.0;
    Resto de infracciones penales;160.0;233.0;45.6;
    TOTAL INFRACCIONES PENALES;349.0;431.0;23.5;
Provincia de LLEIDA;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;3.0;2.0;-33.3;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;41.0;42.0;2.4;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;45.0;41.0;-8.9;
    5.1.-Agresión sexual con penetración;8.0;7.0;-12.5;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;37.0;34.0;-8.1;
    6.-Robos con violencia e intimidación;81.0;100.0;23.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;344.0;285.0;-17.2;
    7.1.-Robos con fuerza en domicilios;244.0;194.0;-20.5;
    8.-Hurtos;1212.0;974.0;-19.6;
    9.-Sustracciones de vehículos;32.0;33.0;3.1;
    10.-Tráfico de drogas;15.0;21.0;40.0;
    Resto de infracciones penales;2764.0;2924.0;5.8;
    TOTAL INFRACCIONES PENALES;4537.0;4422.0;-2.5;
- Municipio de Lleida;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;85.0;79.0;-7.1;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;17.0;23.0;35.3;
    5.1.-Agresión sexual con penetración;3.0;3.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;14.0;20.0;42.9;
    6.-Robos con violencia e intimidación;57.0;85.0;49.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;135.0;126.0;-6.7;
    7.1.-Robos con fuerza en domicilios;98.0;84.0;-14.3;
    8.-Hurtos;685.0;539.0;-21.3;
    9.-Sustracciones de vehículos;12.0;15.0;25.0;
    10.-Tráfico de drogas;5.0;6.0;20.0;
    Resto de infracciones penales;1230.0;1298.0;5.5;
    TOTAL INFRACCIONES PENALES;2226.0;2172.0;-2.4;
Provincia de TARRAGONA;
    1.-Homicidios dolosos y asesinatos consumados;2.0;2.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;3.0;6.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;75.0;57.0;-24.0;
    4.-Secuestro;3.0;2.0;-33.3;
    5.-Delitos contra la libertad e indemnidad sexual;56.0;64.0;14.3;
    5.1.-Agresión sexual con penetración;12.0;13.0;8.3;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;44.0;51.0;15.9;
    6.-Robos con violencia e intimidación;238.0;259.0;8.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1366.0;1181.0;-13.5;
    7.1.-Robos con fuerza en domicilios;1142.0;907.0;-20.6;
    8.-Hurtos;1984.0;1924.0;-3.0;
    9.-Sustracciones de vehículos;82.0;130.0;58.5;
    10.-Tráfico de drogas;58.0;95.0;63.8;
    Resto de infracciones penales;5418.0;5405.0;-0.2;
    TOTAL INFRACCIONES PENALES;9285.0;9125.0;-1.7;
- Municipio de Cambrils;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;12.0;200.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;2.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;2.0;100.0;
    6.-Robos con violencia e intimidación;5.0;8.0;60.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;77.0;46.0;-40.3;
    7.1.-Robos con fuerza en domicilios;68.0;43.0;-36.8;
    8.-Hurtos;52.0;60.0;15.4;
    9.-Sustracciones de vehículos;2.0;2.0;0.0;
    10.-Tráfico de drogas;2.0;2.0;0.0;
    Resto de infracciones penales;183.0;207.0;13.1;
    TOTAL INFRACCIONES PENALES;325.0;339.0;4.3;
- Municipio de Reus;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;42.0;47.0;11.9;
    4.-Secuestro;3.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;5.0;18.0;260.0;
    5.1.-Agresión sexual con penetración;0.0;3.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;5.0;15.0;200.0;
    6.-Robos con violencia e intimidación;62.0;72.0;16.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;143.0;150.0;4.9;
    7.1.-Robos con fuerza en domicilios;114.0;58.0;-49.1;
    8.-Hurtos;245.0;292.0;19.2;
    9.-Sustracciones de vehículos;10.0;25.0;150.0;
    10.-Tráfico de drogas;9.0;17.0;88.9;
    Resto de infracciones penales;697.0;775.0;11.2;
    TOTAL INFRACCIONES PENALES;1216.0;1397.0;14.9;
- Municipio de Tarragona;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;2.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;51.0;49.0;-3.9;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;17.0;10.0;-41.2;
    5.1.-Agresión sexual con penetración;5.0;1.0;-80.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;12.0;9.0;-25.0;
    6.-Robos con violencia e intimidación;69.0;92.0;33.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;249.0;138.0;-44.6;
    7.1.-Robos con fuerza en domicilios;194.0;97.0;-50.0;
    8.-Hurtos;597.0;570.0;-4.5;
    9.-Sustracciones de vehículos;23.0;41.0;78.3;
    10.-Tráfico de drogas;5.0;19.0;280.0;
    Resto de infracciones penales;1358.0;1315.0;-3.2;
    TOTAL INFRACCIONES PENALES;2370.0;2236.0;-5.7;
- Municipio de Tortosa;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;11.0;12.0;9.1;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;4.0;33.3;
    5.1.-Agresión sexual con penetración;1.0;3.0;200.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;1.0;-50.0;
    6.-Robos con violencia e intimidación;1.0;2.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;33.0;26.0;-21.2;
    7.1.-Robos con fuerza en domicilios;20.0;20.0;0.0;
    8.-Hurtos;75.0;62.0;-17.3;
    9.-Sustracciones de vehículos;1.0;2.0;100.0;
    10.-Tráfico de drogas;2.0;4.0;100.0;
    Resto de infracciones penales;179.0;173.0;-3.4;
    TOTAL INFRACCIONES PENALES;305.0;285.0;-6.6;
- Municipio de Vendrell (El);
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;19.0;14.0;-26.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;4.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;4.0;100.0;
    6.-Robos con violencia e intimidación;21.0;16.0;-23.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;59.0;84.0;42.4;
    7.1.-Robos con fuerza en domicilios;51.0;68.0;33.3;
    8.-Hurtos;69.0;67.0;-2.9;
    9.-Sustracciones de vehículos;6.0;4.0;-33.3;
    10.-Tráfico de drogas;4.0;6.0;50.0;
    Resto de infracciones penales;279.0;310.0;11.1;
    TOTAL INFRACCIONES PENALES;459.0;505.0;10.0;
COMUNITAT VALENCIANA;
    1.-Homicidios dolosos y asesinatos consumados;5.0;11.0;120.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;26.0;27.0;3.8;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;395.0;456.0;15.4;
    4.-Secuestro;1.0;1.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;315.0;407.0;29.2;
    5.1.-Agresión sexual con penetración;31.0;38.0;22.6;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;284.0;369.0;29.9;
    6.-Robos con violencia e intimidación;1293.0;1213.0;-6.2;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;5829.0;5233.0;-10.2;
    7.1.-Robos con fuerza en domicilios;4628.0;4143.0;-10.5;
    8.-Hurtos;16357.0;16181.0;-1.1;
    9.-Sustracciones de vehículos;755.0;829.0;9.8;
    10.-Tráfico de drogas;385.0;433.0;12.5;
    Resto de infracciones penales;29581.0;31111.0;5.2;
    TOTAL INFRACCIONES PENALES;54942.0;55902.0;1.7;
Provincia de ALICANTE/ALACANT;
    1.-Homicidios dolosos y asesinatos consumados;2.0;2.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;4.0;6.0;50.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;127.0;159.0;25.2;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;124.0;153.0;23.4;
    5.1.-Agresión sexual con penetración;16.0;15.0;-6.3;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;108.0;138.0;27.8;
    6.-Robos con violencia e intimidación;405.0;357.0;-11.9;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;2561.0;2265.0;-11.6;
    7.1.-Robos con fuerza en domicilios;2119.0;1917.0;-9.5;
    8.-Hurtos;5764.0;5544.0;-3.8;
    9.-Sustracciones de vehículos;280.0;338.0;20.7;
    10.-Tráfico de drogas;120.0;178.0;48.3;
    Resto de infracciones penales;11360.0;11706.0;3.0;
    TOTAL INFRACCIONES PENALES;20747.0;20708.0;-0.2;
- Municipio de Alcoy/Alcoi;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;2.0;100.0;
    4.-Secuestro;0.0;0.0;0.0;
